id,doi
id:20230626_COM-bangoua-kouni_UAV-02_1,doi:10.5281/zenodo.8436903
id:20230701_COM-nioumadzaha-mitsoudje_UAV-02_1,doi:10.5281/zenodo.8436907
id:20230626_COM-bandamaji_UAV-01_2,doi:10.5281/zenodo.8436931
id:20230701_COM-nioumadzaha-mitsoudje_UAV-01_3,doi:10.5281/zenodo.8436934
id:20230626_COM-mitsamiouli_UAV-01_1,doi:10.5281/zenodo.8436935
id:20230701_COM-nioumadzaha-mitsoudje_UAV-01_1,doi:10.5281/zenodo.8436939
id:20230627_COM-vouvouni_UAV-02_2,doi:10.5281/zenodo.8436942
id:20230701_COM-nioumadzaha-mitsoudje_UAV-01_2,doi:10.5281/zenodo.8436945
id:20230627_COM-vouvouni_UAV-01_1,doi:10.5281/zenodo.8436947
id:20230627_COM-vouvouni_UAV-02_1,doi:10.5281/zenodo.8436952
id:20230626_COM-mitsamiouli_UAV-02_1,doi:10.5281/zenodo.8436954
id:20230627_COM-vouvouni_UAV-01_2,doi:10.5281/zenodo.8436955
id:20230626_COM-bangoua-kouni_UAV-01_1,doi:10.5281/zenodo.8436956
id:20230626_COM-bandamaji_UAV-02_1,doi:10.5281/zenodo.8436959
id:20230626_COM-bandamaji_UAV-01_1,doi:10.5281/zenodo.8436963
id:20230628_COM-maloudja_UAV-02_2,doi:10.5281/zenodo.8436964
id:20230626_COM-mitsamiouli_UAV-01_2,doi:10.5281/zenodo.8436965
