id,doi
id:20230626_COM-bangoua-kouni_UAV-02_1,doi:10.5281/zenodo.8431136
id:20230701_COM-nioumadzaha-mitsoudje_UAV-02_1,doi:10.5281/zenodo.8431203
id:20230626_COM-bandamaji_UAV-01_2,doi:10.5281/zenodo.8431498
id:20230701_COM-nioumadzaha-mitsoudje_UAV-01_3,doi:10.5281/zenodo.8431531
id:20230626_COM-mitsamiouli_UAV-01_1,doi:10.5281/zenodo.8431634
id:20230701_COM-nioumadzaha-mitsoudje_UAV-01_1,doi:10.5281/zenodo.8431736
id:20230627_COM-vouvouni_UAV-02_2,doi:10.5281/zenodo.8431807
id:20230701_COM-nioumadzaha-mitsoudje_UAV-01_2,doi:10.5281/zenodo.8431876
id:20230627_COM-vouvouni_UAV-01_1,doi:10.5281/zenodo.8431985
id:20230627_COM-vouvouni_UAV-02_1,doi:10.5281/zenodo.8432062
id:20230626_COM-mitsamiouli_UAV-02_1,doi:10.5281/zenodo.8432088
id:20230627_COM-vouvouni_UAV-01_2,doi:10.5281/zenodo.8432117
id:20230626_COM-bangoua-kouni_UAV-01_1,doi:10.5281/zenodo.8432142
id:20230626_COM-bandamaji_UAV-02_1,doi:10.5281/zenodo.8432188
id:20230626_COM-bandamaji_UAV-01_1,doi:10.5281/zenodo.8436441
id:20230628_COM-maloudja_UAV-02_2,doi:10.5281/zenodo.8436445
id:20230626_COM-mitsamiouli_UAV-01_2,doi:10.5281/zenodo.8436453
