id:20230505_MDG-sarodrano_UAV-02_2,doi:10.5281/zenodo.10079897
id:20230504_MDG-atoll_UAV-02_1,doi:10.5281/zenodo.10079898
id:20230917_MDG-nosy-fanhy_UAV-02_1,doi:10.5281/zenodo.10079907
id:20230430_MDG-nosyve_UAV-02_3,doi:10.5281/zenodo.10079908
id:20230502_MDG-sarodrano_UAV-02_1,doi:10.5281/zenodo.10079911
id:20230502_MDG-anakao_UAV-02_1,doi:10.5281/zenodo.10079913
id:20230427_MDG-tulear_UAV-02_1,doi:10.5281/zenodo.10079914
id:20230916_MDG-nosy-sakatia_UAV-02_1,doi:10.5281/zenodo.10079917
id:20230917_MDG-nosy-fanhy_UAV-02_2,doi:10.5281/zenodo.10079918
id:20230917_MDG-nosy-fanhy_UAV-02_3,doi:10.5281/zenodo.10079919
id:20230915_MDG-nosy-sakatia_UAV-02_1,doi:10.5281/zenodo.10079922
id:20230507_MDG-massif-des-roses_UAV-02_1,doi:10.5281/zenodo.10079923
id:20230507_MDG-ifaty_UAV-02_1,doi:10.5281/zenodo.10079924
id:20230912_MDG-nosy-sakatia_UAV-02_1,doi:10.5281/zenodo.10079929
id:20230504_MDG-saintaugustin_UAV-02_1,doi:10.5281/zenodo.10079933
id:20230915_MDG-nosy-sakatia_UAV-02_2,doi:10.5281/zenodo.10079936
id:20230503_MDG-iot_UAV-02_1,doi:10.5281/zenodo.10079937
id:20230917_MDG-nosy-fanhy_UAV-02_4,doi:10.5281/zenodo.10079938
id:20230430_MDG-nosyve_UAV-02_2,doi:10.5281/zenodo.10079939
id:20230505_MDG-sarodrano_UAV-02_1,doi:10.5281/zenodo.10079942
id:20230507_MDG-massif-des-roses_UAV-02_2,doi:10.5281/zenodo.10079947
id:20230430_MDG-nosyve_UAV-02_1,doi:10.5281/zenodo.10079948
id:20230502_MDG-iot_UAV-02_1,doi:10.5281/zenodo.10079951

