id:20230505_MDG-sarodrano_UAV-02_2,doi:10.5281/zenodo.10064364
id:20230504_MDG-atoll_UAV-02_1,doi:10.5281/zenodo.10064368
id:20230917_MDG-nosy-fanhy_UAV-02_1,doi:10.5281/zenodo.10064384
id:20230430_MDG-nosyve_UAV-02_3,doi:10.5281/zenodo.10064392
id:20230502_MDG-sarodrano_UAV-02_1,doi:10.5281/zenodo.10064397
id:20230502_MDG-anakao_UAV-02_1,doi:10.5281/zenodo.10064401
id:20230427_MDG-tulear_UAV-02_1,doi:10.5281/zenodo.10064403
id:20230916_MDG-nosy-sakatia_UAV-02_1,doi:10.5281/zenodo.10064410
id:20230917_MDG-nosy-fanhy_UAV-02_2,doi:10.5281/zenodo.10064418
id:20230917_MDG-nosy-fanhy_UAV-02_3,doi:10.5281/zenodo.10064425
id:20230915_MDG-nosy-sakatia_UAV-02_1,doi:10.5281/zenodo.10064437
id:20230507_MDG-massif-des-roses_UAV-02_1,doi:10.5281/zenodo.10064443
id:20230507_MDG-ifaty_UAV-02_1,doi:10.5281/zenodo.10064452
id:20230912_MDG-nosy-sakatia_UAV-02_1,doi:10.5281/zenodo.10064456
id:20230504_MDG-saintaugustin_UAV-02_1,doi:10.5281/zenodo.10064460
id:20230915_MDG-nosy-sakatia_UAV-02_2,doi:10.5281/zenodo.10064462
id:20230503_MDG-iot_UAV-02_1,doi:10.5281/zenodo.10064484
id:20230917_MDG-nosy-fanhy_UAV-02_4,doi:10.5281/zenodo.10064500
id:20230430_MDG-nosyve_UAV-02_2,doi:10.5281/zenodo.10064527
id:20230505_MDG-sarodrano_UAV-02_1,doi:10.5281/zenodo.10064539
id:20230507_MDG-massif-des-roses_UAV-02_2,doi:10.5281/zenodo.10064549
id:20230430_MDG-nosyve_UAV-02_1,doi:10.5281/zenodo.10064555
id:20230502_MDG-iot_UAV-02_1,doi:10.5281/zenodo.10064560
