id,doi
id:20220914_MYT-aeroport_UAV-02_3,doi:10.5281/zenodo.10085094
id:20220911_MYT-aeroport_UAV-02_2,doi:10.5281/zenodo.10085097
id:20220910_MYT-musicalplage_UAV-02_1,doi:10.5281/zenodo.10085102
id:20220912_MYT-surprise_UAV-02_2,doi:10.5281/zenodo.10085107
id:20220911_MYT-jollyroger_UAV-02_1,doi:10.5281/zenodo.10085110
id:20220911_MYT-aeroport_UAV-02_1,doi:10.5281/zenodo.10085111
id:20220912_MYT-surprise_UAV-02_3,doi:10.5281/zenodo.10085112
id:20220914_MYT-ile-blanche_UAV-02_2,doi:10.5281/zenodo.10085117
id:20220910_MYT-jolly-roger_UAV-02_3,doi:10.5281/zenodo.10085118
id:20220913_MYT-ngouja_UAV-02_2,doi:10.5281/zenodo.10085119
id:20220910_MYT-jollyroger_UAV-02_2,doi:10.5281/zenodo.10085126
id:20220913_MYT-jollyroger_UAV-02_1,doi:10.5281/zenodo.10085131
id:20220914_MYT-aeroport_UAV-02_1,doi:10.5281/zenodo.10085135
id:20220913_MYT-ngouja_UAV-02_3,doi:10.5281/zenodo.10085138
id:20220912_MYT-ile-blanche_UAV-02_1,doi:10.5281/zenodo.10085139
id:20220911_MYT-jollyroger_UAV-02_2,doi:10.5281/zenodo.10085143
id:20220911_MYT-musicalplage_UAV-02_3,doi:10.5281/zenodo.10085148
