id,doi
id:20220914_MYT-aeroport_UAV-02_3,doi:10.5281/zenodo.8432872
id:20220911_MYT-aeroport_UAV-02_2,doi:10.5281/zenodo.8432885
id:20220910_MYT-musicalplage_UAV-02_1,doi:10.5281/zenodo.8432891
id:20220912_MYT-surprise_UAV-02_2,doi:10.5281/zenodo.8432895
id:20220911_MYT-jollyroger_UAV-02_1,doi:10.5281/zenodo.8436204
id:20220911_MYT-aeroport_UAV-02_1,doi:10.5281/zenodo.8436216
id:20220912_MYT-surprise_UAV-02_3,doi:10.5281/zenodo.8436221
id:20220914_MYT-ile-blanche_UAV-02_2,doi:10.5281/zenodo.8436231
id:20220910_MYT-jolly-roger_UAV-02_3,doi:10.5281/zenodo.8436243
id:20220913_MYT-ngouja_UAV-02_2,doi:10.5281/zenodo.8436250
id:20220910_MYT-jollyroger_UAV-02_2,doi:10.5281/zenodo.8436262
id:20220913_MYT-jollyroger_UAV-02_1,doi:10.5281/zenodo.8436272
id:20220914_MYT-aeroport_UAV-02_1,doi:10.5281/zenodo.8436276
id:20220913_MYT-ngouja_UAV-02_3,doi:10.5281/zenodo.8436286
id:20220912_MYT-ile-blanche_UAV-02_1,doi:10.5281/zenodo.8436301
id:20220911_MYT-jollyroger_UAV-02_2,doi:10.5281/zenodo.8436305
id:20220911_MYT-musicalplage_UAV-02_3,doi:10.5281/zenodo.8436311
