id,doi
id:20221023_SYC-aldabra-arm06_UAV-02_21,doi:10.5281/zenodo.12528494
id:20221025_SYC-aldabra-arm01_UAV-02_33,doi:10.5281/zenodo.12528499
id:20221022_SYC-aldabra-passe-dubois_UAV-02_14,doi:10.5281/zenodo.12528513
id:20221024_SYC-aldabra-passe-dubois-MSP_UAV-02_27,doi:10.5281/zenodo.12528521
id:20221020_SYC-aldabra-arm01_UAV-02_3,doi:10.5281/zenodo.12528536
id:20221020_SYC-aldabra-arm01_UAV-02_6,doi:10.5281/zenodo.12528543
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_26,doi:10.5281/zenodo.12528558
id:20221020_SYC-aldabra-arm01_UAV-02_4,doi:10.5281/zenodo.12528585
id:20221023_SYC-aldabra-arm06_UAV-02_20,doi:10.5281/zenodo.12528596
id:20221020_SYC-aldabra-arm01_UAV-02_5,doi:10.5281/zenodo.12528615
id:20221021_SYC-aldabra-arm01_UAV-02_8,doi:10.5281/zenodo.12528621
id:20221022_SYC-aldabra-arm06_UAV-02_16,doi:10.5281/zenodo.12528633
id:20221024_SYC-aldabra-gigi_UAV-02_30,doi:10.5281/zenodo.12528637
id:20221019_SYC-aldabra-arm01_UAV-02_1,doi:10.5281/zenodo.12528670
id:20221023_SYC-aldabra-arm06_UAV-02_19,doi:10.5281/zenodo.12528685
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_25,doi:10.5281/zenodo.12528709
id:20221022_SYC-aldabra-arm06_UAV-02_15,doi:10.5281/zenodo.12528715
id:20221021_SYC-aldabra-arm01_UAV-02_10,doi:10.5281/zenodo.12528721
id:20221022_SYC-aldabra-passe-dubois_UAV-02_12,doi:10.5281/zenodo.12528747
id:20221022_SYC-aldabra-passe-dubois_UAV-02_11,doi:10.5281/zenodo.12528763
id:20221020_SYC-aldabra-arm01_UAV-02_1,doi:10.5281/zenodo.12528768
id:20221021_SYC-aldabra-arm01_UAV-02_9,doi:10.5281/zenodo.12528785
id:20221024_SYC-aldabra-passe-arm01_UAV-02_28,doi:10.5281/zenodo.12528803
id:20221024_SYC-aldabra-gigi_UAV-02_29,doi:10.5281/zenodo.12528805
id:20221021_SYC-aldabra-arm01_UAV-02_7,doi:10.5281/zenodo.12528832
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_24,doi:10.5281/zenodo.12528834
id:20221023_SYC-aldabra-arm06_UAV-02_18,doi:10.5281/zenodo.12528840
id:20221022_SYC-aldabra-passe-dubois_UAV-02_13,doi:10.5281/zenodo.12528850
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_23,doi:10.5281/zenodo.12528870
id:20221024_SYC-aldabra-gigi_UAV-02_31,doi:10.5281/zenodo.12528883
id:20221025_SYC-aldabra-arm01_UAV-02_32,doi:10.5281/zenodo.12528899
id:20221020_SYC-aldabra-arm01_UAV-02_2,doi:10.5281/zenodo.12528911
id:20221023_SYC-aldabra-arm06_UAV-02_17,doi:10.5281/zenodo.12528923
