id,doi
id:20221023_SYC-aldabra-arm06_UAV-02_21,doi:10.5281/zenodo.12522502
id:20221025_SYC-aldabra-arm01_UAV-02_33,doi:10.5281/zenodo.12522508
id:20221022_SYC-aldabra-passe-dubois_UAV-02_14,doi:10.5281/zenodo.12522515
id:20221024_SYC-aldabra-passe-dubois-MSP_UAV-02_27,doi:10.5281/zenodo.12522527
id:20221020_SYC-aldabra-arm01_UAV-02_3,doi:10.5281/zenodo.12522537
id:20221020_SYC-aldabra-arm01_UAV-02_6,doi:10.5281/zenodo.12522543
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_26,doi:10.5281/zenodo.12522545
id:20221020_SYC-aldabra-arm01_UAV-02_4,doi:10.5281/zenodo.12522547
id:20221023_SYC-aldabra-arm06_UAV-02_20,doi:10.5281/zenodo.12522555
id:20221020_SYC-aldabra-arm01_UAV-02_5,doi:10.5281/zenodo.12522559
id:20221021_SYC-aldabra-arm01_UAV-02_8,doi:10.5281/zenodo.12522562
id:20221022_SYC-aldabra-arm06_UAV-02_16,doi:10.5281/zenodo.12522575
id:20221024_SYC-aldabra-gigi_UAV-02_30,doi:10.5281/zenodo.12522594
id:20221019_SYC-aldabra-arm01_UAV-02_1,doi:10.5281/zenodo.12522600
id:20221023_SYC-aldabra-arm06_UAV-02_19,doi:10.5281/zenodo.12522604
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_25,doi:10.5281/zenodo.12522608
id:20221022_SYC-aldabra-arm06_UAV-02_15,doi:10.5281/zenodo.12522612
id:20221021_SYC-aldabra-arm01_UAV-02_10,doi:10.5281/zenodo.12522620
id:20221022_SYC-aldabra-passe-dubois_UAV-02_12,doi:10.5281/zenodo.12522628
id:20221022_SYC-aldabra-passe-dubois_UAV-02_11,doi:10.5281/zenodo.12522634
id:20221020_SYC-aldabra-arm01_UAV-02_1,doi:10.5281/zenodo.12522643
id:20221021_SYC-aldabra-arm01_UAV-02_9,doi:10.5281/zenodo.12522657
id:20221024_SYC-aldabra-passe-arm01_UAV-02_28,doi:10.5281/zenodo.12522665
id:20221024_SYC-aldabra-gigi_UAV-02_29,doi:10.5281/zenodo.12522673
id:20221021_SYC-aldabra-arm01_UAV-02_7,doi:10.5281/zenodo.12522681
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_24,doi:10.5281/zenodo.12522686
id:20221023_SYC-aldabra-arm06_UAV-02_18,doi:10.5281/zenodo.12522699
id:20221022_SYC-aldabra-passe-dubois_UAV-02_13,doi:10.5281/zenodo.12522703
id:20221024_SYC-aldabra-passe-dubois-40m_UAV-02_23,doi:10.5281/zenodo.12522716
id:20221024_SYC-aldabra-gigi_UAV-02_31,doi:10.5281/zenodo.12522722
id:20221025_SYC-aldabra-arm01_UAV-02_32,doi:10.5281/zenodo.12522728
id:20221020_SYC-aldabra-arm01_UAV-02_2,doi:10.5281/zenodo.12522733
id:20221023_SYC-aldabra-arm06_UAV-02_17,doi:10.5281/zenodo.12522735
